1	chapter	A Note on This Draft	128
2	part	Foundations of Organization	141
3	chapter	Introduction	143
4	section	Why Another Theory?	145
5	section	The Repository as Research Record	196
6	section	From Language to Physics	228
7	section	A Shift in Perspective	265
8	section	The RSVP Program	289
9	section	How to Read This Book	320
10	chapter	Two Lines of Evidence: Language and Biology	349
11	section	The Unexpected Starting Point	351
12	section	Against Isolated Symbols	382
13	section	Against Isolated Neurons	410
14	section	Meaning as Constraint	435
15	section	Prediction as Constraint	454
16	section	Distinction Before Representation	481
17	subsection	Definition: Diagnostic Boundary	507
18	definition		512
19	section	Structural Semantics	539
20	section	Hierarchical Organization	554
21	section	Toward Information	576
22	chapter	Information, Entropy, and the Persistence of Distinction	602
23	section	From Meaning to Information	604
24	section	Distinction as the Primitive Quantity	644
25	section	Entropy as the Cost of Maintaining Difference	672
26	section	Compression and Scientific Explanation	702
27	section	Information Requires Physical Support	732
28	section	The Failure of Static Ontologies	757
29	section	Toward Dynamic Structure	789
30	section	The Need for Geometry	813
31	chapter	Geometry Before Representation	845
32	section	A Change in Mathematical Priority	847
33	section	Coordinates Are Not Geometry	873
34	section	Topology Before Measurement	910
35	section	Constraint as Geometry	937
36	section	Representation as Projection	962
37	section	From Objects to Trajectories	990
38	section	Fields Rather Than Containers	1024
39	section	The Geometry of Possibility	1056
40	section	Toward Admissibility	1079
41	chapter	Admissibility: The Mathematics of Persistence	1106
42	section	From Geometry to Evolution	1108
43	section	The Informal Idea	1143
44	section	Admissible Evolution	1180
45	definition		1241
46	section	Admissible Trajectories	1267
47	definition		1273
48	section	Violation	1308
49	section	Persistence Rather Than Perfection	1356
50	section	Universality	1378
51	section	A Principle of Organization	1401
52	section	Hierarchical Admissibility	1425
53	theorem		1439
54	section	Looking Forward	1461
55	chapter	Repair: Dynamics Beyond Evolution	1484
56	section	Why Dynamics Alone Are Insufficient	1486
57	section	Failure is Informative	1530
58	section	Repair Operators	1561
59	definition		1585
60	section	Examples Across Disciplines	1615
61	section	Composition of Repairs	1640
62	section	Local and Global Repair	1678
63	section	Repair Generates Identity	1704
64	section	Repair and Time	1731
65	section	Repair Before Optimization	1752
66	section	Toward Continuation	1784
67	chapter	Continuation: Identity Through Time	1801
68	section	The Problem of Persistence	1803
69	section	Identity is Not Material Sameness	1831
70	section	Continuation as a Primitive Concept	1862
71	definition		1872
72	section	Trajectories Replace Snapshots	1909
73	section	The Continuation Relation	1936
74	section	Memory as Structural Continuation	1975
75	section	The Continuity of Function	2000
76	section	Continuation Across Scales	2022
77	section	The Arrow of Organization	2045
78	section	Toward Field Ontology	2065
79	chapter	From Continuation to Plenum	2096
80	section	A Change of Ontology	2098
81	section	Why Not Begin With Particles?	2126
82	section	The Meaning of Plenum	2150
83	section	Scalar and Vector Structure	2176
84	section	Relativity as a Structural Constraint	2205
85	section	Objects Become Stable Trajectories	2226
86	section	Diagnostic Coordinates	2250
87	section	Field Dynamics Before Objects	2278
88	section	The Road Ahead	2315
89	chapter	The Geometry of the Plenum	2344
90	section	The Plenum as Configuration Space	2346
91	section	The Configuration Manifold	2367
92	section	Neighborhoods of Continuation	2408
93	section	Boundaries	2425
94	section	Curvature as Organizational Response	2449
95	section	Localized Stability	2469
96	section	Field Repair	2507
97	section	Observers	2529
98	section	Emergence of Physical Law	2568
99	section	Toward Dynamics	2587
100	chapter	Dynamics of the Scalar--Vector Plenum	2605
101	section	From Configuration to Evolution	2607
102	section	The State of the Plenum	2626
103	section	Evolution Operator	2673
104	section	The Principle of Minimum Structural Violation	2708
105	section	Structural Tension	2740
106	section	Propagation	2767
107	section	Emergent Objects	2792
108	section	Scale Independence	2822
109	section	Toward Conservation	2845
110	chapter	Symmetry, Invariance, and Conservation	2874
111	section	Why Symmetry Matters	2876
112	section	Invariance Before Conservation	2902
113	definition		2917
114	section	Symmetry as Indifference	2946
115	section	The Geometry of Symmetry	2971
116	section	Conservation as Persistent Structure	3010
117	section	Broken Symmetry	3044
118	section	Hierarchy of Invariants	3070
119	section	Conservation Beyond Physics	3091
120	section	Toward the Action Principle	3115
121	chapter	The Variational Principle of Admissibility	3140
122	section	The Role of Variational Principles	3142
123	section	Beyond Least Action	3167
124	section	The Admissibility Functional	3197
125	section	Admissible Evolution	3244
126	section	A Schematic Decomposition	3268
127	section	Repair Within the Action	3325
128	section	Recovering Classical Physics	3348
129	section	Extremals and Persistence	3384
130	section	Open Mathematical Questions	3410
131	section	Toward Diagnostic Coordinates	3437
132	chapter	Deriving the RSVP Lagrangian	3452
133	section	Why a Lagrangian Formulation?	3454
134	section	Physical Principles: Locality, Covariance, and Admissibility	3483
135	subsection	Locality	3485
136	subsection	Lorentz Covariance	3527
137	subsection	Admissibility	3604
138	section	Local Violation and Repair Densities	3618
139	definition		3632
140	definition		3652
141	subsection	Recovering the Global Quantities of Part I	3663
142	section	General Form of the RSVP Action	3689
143	subsection	Recovering Existing Physics	3745
